id,buyer_name,review_rating,review_title,author_linkurl,review_text
1,william archambeault,5,5 stars,https://www.amazon.com/gp/profile/amzn1.account.AFIL4KQYO2SQ6CK2EU2HUUIKWTVA/ref=cm_cr_arp_d_pdp?ie=UTF8,Works very well for the price. Worth the money
2,william archambeault,5,5 stars,https://www.amazon.com/gp/profile/amzn1.account.AFIL4KQYO2SQ6CK2EU2HUUIKWTVA/ref=cm_cr_arp_d_pdp?ie=UTF8,Works very well for the price. Worth the money
3,Amazon Customer,5,Didnt think it was going to be good bit it turns out to be a lot better ...,https://www.amazon.com/gp/profile/amzn1.account.AHX7W54TAQDTWPP4WON5M7MYJ6SA/ref=cm_cr_arp_d_pdp?ie=UTF8,Didnt think it was going to be good bit it turns out to be a lot better than you would think
4,Amazon Customer,5,Didnt think it was going to be good bit it turns out to be a lot better ...,https://www.amazon.com/gp/profile/amzn1.account.AHX7W54TAQDTWPP4WON5M7MYJ6SA/ref=cm_cr_arp_d_pdp?ie=UTF8,Didnt think it was going to be good bit it turns out to be a lot better than you would think
5,Erin G.,2,Two Stars,https://www.amazon.com/gp/profile/amzn1.account.AFV4PRK6MZWOKGC75DGWLX2XBJJQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Broke after 6 months
6,Erin G.,2,Two Stars,https://www.amazon.com/gp/profile/amzn1.account.AFV4PRK6MZWOKGC75DGWLX2XBJJQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Broke after 6 months
7,Tasha,1,One Star,https://www.amazon.com/gp/profile/amzn1.account.AFYCUWDYN6D34KEE23IQMVKG7HMA/ref=cm_cr_arp_d_pdp?ie=UTF8,This sucks don't buy it
8,Zenaide S Almeida,1,"I still testing for few more days,",https://www.amazon.com/gp/profile/amzn1.account.AGIQOFI425BL77UJYNSEBHOETF2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"I still testing for few more days, because first time it took 2 hours to charge de follow days I place my phone to charge and after 6 hours I have only about 80% of charge
Tanks"
9,Zenaide S Almeida,1,"I still testing for few more days,",https://www.amazon.com/gp/profile/amzn1.account.AGIQOFI425BL77UJYNSEBHOETF2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"I still testing for few more days, because first time it took 2 hours to charge de follow days I place my phone to charge and after 6 hours I have only about 80% of charge
Tanks"
10,Amazon Customer,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AEPCHM2VYUY4RYO3KKGGZOCSZDOQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"ALL GOOD EVERYTIME THUS FAR. THANKS, KEEP UP THE GREAT WORK PLEASE. JIM"
